price,bedrooms,bathrooms,waterfront,view,condition,grade,yr_built,yr_renovated,long,lat,m2_living,m2_lot,floors,m2_above,m2_basement,m2_living15,m2_lot15
285000.00,5,2.5,0,0,3,8,1995,0,-122.169,47.3266,210.88981,585.2889,0.185806,210.88981,0,208.10272,650.785515
252700.00,2,1.5,0,0,3,7,1985,0,-122.166,47.3533,99.40621,895.863629,0.092903,99.40621,0,113.34166,779.084558
329000.00,3,2.25,0,0,4,8,1985,0,-122.172,47.3739,227.61235,603.8695,0.185806,227.61235,0,204.3866,637.779095
233000.00,3,2,0,0,5,6,1941,0,-122.218,47.3048,158.86413,436.365391,0.1393545,158.86413,0,95.69009,437.108615
937000.00,3,1.75,0,0,3,8,1915,0,-122.36,47.6386,227.61235,250.001973,0.185806,162.58025,65.0321,163.50928,331.942419
667000.00,3,1,0,0,5,8,1909,0,-122.314,47.6221,130.0642,146.879643,0.1393545,130.0642,0,172.79958,358.698483
438000.00,3,1.75,0,0,3,7,1948,0,-122.304,47.695,141.21256,592.72114,0.092903,73.39337,67.81919,141.21256,579.250205
719000.00,4,2.5,0,0,3,8,2005,0,-122.11,47.7073,238.76071,666.393219,0.185806,238.76071,0,244.33489,559.833478
580500.00,3,2.5,0,0,3,8,2003,0,-122.07,47.5391,215.53496,369.75394,0.185806,215.53496,0,239.68974,369.75394
280000.00,2,1.5,0,0,3,7,2005,0,-122.357,47.7274,110.55457,117.522295,0.278709,110.55457,0,129.13517,163.137668
687500.00,4,1.75,0,0,4,7,1929,0,-122.368,47.6823,216.46399,464.515,0.1393545,140.28353,76.18046,135.63838,464.515
535000.00,3,1,0,0,4,8,1929,0,-122.375,47.6889,101.26427,278.709,0.1393545,101.26427,0,145.85771,471.94724
322500.00,4,2.75,0,0,3,7,1981,0,-122.157,47.4276,191.38018,618.641077,0.092903,118.91584,72.46434,187.66406,810.11416
696000.00,3,2.5,0,0,3,8,1930,2002,-122.31,47.6827,213.6769,284.28318,0.1393545,140.28353,73.39337,147.71577,303.235392
550000.00,4,1,0,0,1,5,1933,0,-122.132,47.6621,154.21898,3237.483744,0.092903,86.39979,67.81919,200.67048,1065.318701
640000.00,4,2,0,0,4,8,1904,0,-122.362,47.6702,219.25108,557.418,0.185806,219.25108,0,160.72219,436.6441
240000.00,4,1,0,0,2,7,1969,0,-122.282,47.3341,113.34166,750.191725,0.092903,82.68367,30.65799,119.84487,724.6434
605000.00,4,2.5,0,0,3,8,1996,0,-122.18,47.5301,243.40586,701.696359,0.185806,243.40586,0,243.40586,1104.059252
625000.00,4,2.5,0,0,3,9,2000,0,-122.027,47.6145,238.76071,512.82456,0.185806,238.76071,0,229.47041,526.667107
775000.00,4,2.25,0,0,3,8,1984,0,-122.347,47.445,392.05066,2246.951958,0.092903,241.5478,150.50286,223.89623,2844.411151
861990.00,5,2.75,0,0,3,9,2014,0,-122.016,47.6848,333.986285,523.880017,0.185806,333.986285,0,336.773375,523.880017
685000.00,3,1,0,0,3,7,1922,0,-122.364,47.6413,145.85771,211.81884,0.185806,145.85771,0,146.78674,245.26392
309000.00,3,1,0,0,4,6,1959,0,-122.175,47.4485,118.91584,897.071368,0.092903,85.47076,33.44508,124.49002,818.289624
488000.00,3,2.5,0,0,3,8,2003,0,-121.977,47.7443,293.57348,1263.759509,0.185806,293.57348,0,283.35415,857.680496
210490.00,3,1,0,0,3,6,1966,0,-122.371,47.3066,91.97397,792.276784,0.092903,91.97397,0,114.084884,821.26252
785000.00,4,2.5,0,0,4,9,1981,0,-122.151,47.6194,212.74787,1246.386648,0.185806,212.74787,0,248.98004,1271.377555
450000.00,3,1.75,0,0,4,7,1953,0,-122.301,47.6796,116.12875,553.980589,0.092903,116.12875,0,90.11591,473.8053
1350000.00,3,2.5,1,2,5,9,1953,0,-122.451,47.4041,255.761959,6039.159515,0.092903,201.134995,54.626964,248.98004,6736.675239
228000.00,3,1,0,0,3,7,1955,0,-122.322,47.4258,110.55457,854.614697,0.092903,110.55457,0,110.55457,869.943692
345000.00,5,2.5,0,0,4,8,1966,0,-122.189,47.4934,292.64445,848.576002,0.092903,152.36092,140.28353,184.87697,848.483099
600000.00,3,1.75,0,0,4,7,1950,0,-122.384,47.6808,130.99323,379.04424,0.092903,92.903,38.09023,130.99323,379.04424
585000.00,2,1.75,0,0,3,7,1981,0,-122.369,47.6989,183.94794,794.32065,0.092903,91.97397,91.97397,137.49644,625.980414
920000.00,5,2.25,0,0,3,8,1927,0,-122.281,47.6571,253.62519,557.418,0.1393545,197.88339,55.7418,253.62519,557.418
885000.00,4,2.5,0,0,3,9,1995,0,-122.29,47.6597,262.91549,464.515,0.185806,262.91549,0,181.16085,464.515
292500.00,4,2.5,0,0,3,7,2008,0,-122.114,47.3663,209.03175,417.598985,0.185806,209.03175,0,209.03175,418.0635
301000.00,3,2.5,0,0,3,8,2003,0,-122.122,47.3663,224.82526,441.28925,0.185806,224.82526,0,249.90907,441.28925
951000.00,5,3.25,0,4,4,8,1968,0,-122.116,47.588,301.93475,1332.414826,0.185806,301.93475,0,274.99288,1026.020732
430000.00,4,3,0,0,3,8,1991,0,-122.149,47.5059,171.87055,926.800328,0.185806,171.87055,0,210.88981,793.577426
650000.00,3,2.25,0,3,4,8,1959,0,-122.339,47.4336,199.74145,1972.795205,0.092903,147.71577,52.02568,238.76071,1755.8667
289000.00,3,1.75,0,0,3,7,1954,0,-122.335,47.4366,117.05778,780.3852,0.092903,117.05778,0,119.84487,812.90125
505000.00,3,1.75,0,0,5,8,1973,0,-122.344,47.4428,234.022657,807.32707,0.185806,234.022657,0,232.2575,882.5785
549000.00,3,1.75,0,0,3,8,2014,0,-122.32,47.6765,143.07062,96.990732,0.278709,143.07062,0,146.78674,287.07027
425000.00,3,2.25,0,0,3,7,1979,0,-122.297,47.6113,154.21898,557.418,0.092903,103.12233,51.09665,133.78032,379.04424
317625.00,3,2.75,0,0,5,7,1925,0,-122.304,47.5747,257.34131,353.867527,0.1393545,164.43831,92.903,133.78032,371.612
975000.00,4,2.5,0,0,3,10,1989,0,-122.192,47.5815,252.69616,1026.485247,0.185806,252.69616,0,255.48325,1026.485247
287000.00,4,2.5,0,0,3,7,2005,0,-122.257,47.3378,208.10272,431.813144,0.185806,208.10272,0,206.337563,423.358971
204000.00,3,1,0,0,4,7,1968,0,-122.11,47.3621,92.903,1121.33921,0.092903,92.903,0,93.83203,1173.829405
1325000.00,5,2.25,0,0,3,8,1965,0,-122.215,47.6303,297.2896,1872.738674,0.092903,148.6448,148.6448,314.94117,1872.738674
1040000.00,5,3.25,0,0,4,11,1973,0,-122.16,47.6525,443.14731,4653.882882,0.092903,285.21221,157.9351,327.94759,3615.506051
325000.00,3,2,0,0,4,7,1972,0,-122.179,47.7362,117.05778,521.371636,0.092903,117.05778,0,152.36092,440.824735
571000.00,4,2,0,0,5,7,1916,0,-122.287,47.7168,255.48325,725.293721,0.1393545,209.03175,46.4515,140.28353,725.293721
360000.00,4,2.5,0,0,3,8,2005,0,-122.036,47.3608,221.10914,464.515,0.185806,221.10914,0,224.82526,464.515
349000.00,3,1.75,0,0,5,7,1965,0,-122.073,47.3511,166.29637,4694.295687,0.092903,101.26427,65.0321,180.23182,4694.295687
832500.00,4,4,0,0,4,10,1986,0,-121.987,47.5822,318.65729,3261.081106,0.185806,222.03817,96.61912,301.00572,3253.46306
380000.00,4,1.75,0,0,3,7,1956,0,-122.125,47.6034,163.50928,678.1919,0.092903,81.75464,81.75464,156.07704,696.7725
480000.00,3,1,0,0,3,7,1941,0,-122.394,47.5636,96.61912,470.08918,0.092903,96.61912,0,82.68367,470.08918
410000.00,3,1,0,0,4,7,1956,0,-122.34,47.7073,130.99323,470.08918,0.092903,84.54173,46.4515,104.98039,528.896779
720000.00,4,2.5,0,0,3,10,2002,0,-122.025,47.342,320.51535,3686.669749,0.185806,320.51535,0,311.22505,3692.89425
390000.00,3,2.5,0,0,3,8,2003,0,-122.008,47.3512,218.32205,473.8053,0.185806,218.32205,0,218.32205,498.238789
360000.00,4,2.5,0,0,3,7,1992,0,-122.031,47.349,176.5157,547.105767,0.185806,176.5157,0,173.72861,595.043715
355000.00,2,1,0,0,3,7,1948,0,-122.291,47.5474,187.66406,624.30816,0.092903,93.83203,93.83203,159.79316,624.30816
356000.00,3,1.5,0,0,3,8,1964,0,-122.149,47.4811,156.07704,809.370936,0.092903,156.07704,0,171.87055,817.267691
315000.00,3,1,0,0,3,6,1952,0,-122.31,47.7264,89.18688,616.318502,0.092903,89.18688,0,145.85771,669.180309
940000.00,3,1.5,0,0,3,9,1925,0,-122.365,47.6337,198.81242,334.4508,0.185806,176.5157,22.29672,187.66406,445.9344
305000.00,5,2.25,0,0,5,7,1961,0,-122.189,47.2909,247.12198,780.3852,0.1393545,247.12198,0,147.71577,758.552995
461000.00,3,3.25,0,0,3,9,2006,0,-122.199,47.5228,257.34131,583.245034,0.185806,183.94794,73.39337,176.5157,682.744147
215000.00,2,2.25,0,0,4,7,1979,0,-122.194,47.518,149.57383,189.52212,0.185806,149.57383,0,181.16085,188.128575
335000.00,2,1.75,0,0,3,7,2006,0,-122.387,47.5394,95.69009,99.034598,0.185806,71.070795,24.619295,95.69009,102.750718
243500.00,4,2.5,0,0,3,7,1988,0,-122.372,47.2897,183.94794,687.760909,0.185806,183.94794,0,183.94794,697.70153
1099880.00,5,2.75,0,0,4,10,2001,0,-122.391,47.6506,327.01856,590.212759,0.185806,327.01856,0,234.11556,580.64375
153000.00,3,1,0,0,3,7,1962,0,-122.351,47.322,111.4836,975.4815,0.092903,111.4836,0,125.41905,975.4815
430000.00,3,1.5,0,0,3,8,1939,0,-122.386,47.687,146.78674,464.515,0.092903,119.84487,26.94187,145.85771,418.0635
700000.00,3,1.5,0,0,3,8,1939,0,-122.386,47.687,146.78674,464.515,0.092903,119.84487,26.94187,145.85771,418.0635
905000.00,4,2.5,0,0,3,7,1946,1991,-122.249,47.5873,306.5799,952.25575,0.092903,222.03817,84.54173,181.16085,561.598635
247500.00,3,1.75,0,0,3,7,1967,0,-122.277,47.3576,182.08988,1456.811943,0.092903,182.08988,0,162.58025,1450.773248
199000.00,4,1.5,0,0,4,7,1975,0,-122.378,47.3036,107.76748,594.5792,0.092903,107.76748,0,107.76748,594.5792
314000.00,3,1.75,0,0,5,7,1980,0,-121.958,47.4109,168.15443,3883.3454,0.092903,112.41263,55.7418,153.28995,12545.24951
437500.00,3,2.5,0,2,3,9,1992,0,-121.714,47.4838,215.53496,3423.196841,0.185806,215.53496,0,236.90265,3257.643695
850830.00,3,2.5,0,0,5,9,1910,0,-122.315,47.6415,192.30921,1230.128623,0.1393545,117.98681,74.3224,204.3866,418.0635
555000.00,3,2,0,0,4,7,1929,0,-122.372,47.6775,183.94794,323.116634,0.1393545,133.78032,50.16762,149.57383,323.116634
699950.00,3,2.25,0,0,4,8,1983,0,-122.08,47.7731,203.45757,9995.712479,0.185806,203.45757,0,238.76071,4438.626631
1088000.00,3,2.5,0,0,3,8,1950,2010,-122.196,47.5814,271.27676,753.722039,0.185806,271.27676,0,220.18011,753.722039
290000.00,3,1,0,0,3,7,1954,0,-122.184,47.4375,112.41263,3151.176857,0.092903,112.41263,0,152.36092,1385.18373
375000.00,3,2.5,0,0,4,8,1978,0,-122.133,47.4431,217.39302,929.494515,0.092903,135.63838,81.75464,209.03175,758.274286
460000.00,3,1,0,0,4,7,1939,0,-122.38,47.6878,155.14801,372.076515,0.1393545,108.69651,46.4515,115.19972,372.076515
188500.00,2,1.75,0,0,4,8,1985,0,-122.322,47.3813,115.19972,231.607179,0.092903,115.19972,0,117.98681,461.356298
680000.00,4,2.5,0,0,4,10,1991,0,-122.082,47.7304,291.71542,2604.721411,0.185806,291.71542,0,277.77997,3251.697903
470000.00,5,1.75,0,0,4,7,1942,0,-122.109,47.6417,188.59309,1146.608826,0.185806,188.59309,0,232.2575,876.353999
597750.00,4,2.5,0,0,3,8,1984,0,-122.053,47.5386,214.60593,894.098472,0.185806,214.60593,0,180.23182,895.213308
570000.00,3,1.75,0,0,5,6,1905,0,-122.349,47.6823,117.05778,309.181184,0.092903,65.0321,52.02568,128.20614,328.505008
272500.00,3,1.75,0,0,4,7,1980,0,-122.031,47.3624,143.07062,1170.5778,0.092903,107.76748,35.30314,143.07062,1082.877368
329950.00,3,1.75,0,2,3,7,1971,0,-122.295,47.5474,193.23824,554.538007,0.092903,100.33524,92.903,194.16727,510.9665
480000.00,4,2.5,0,3,3,9,2001,0,-122.253,47.3183,300.07669,1502.334413,0.185806,234.11556,65.96113,245.26392,791.254851
740500.00,3,3.5,0,0,3,8,1900,1999,-122.368,47.6981,406.91514,589.93405,0.185806,258.27034,148.6448,170.01249,589.93405
518500.00,3,3.5,0,0,3,8,2010,0,-122.347,47.6824,147.71577,102.379106,0.278709,147.71577,0,150.50286,294.130898
205425.00,2,1,0,0,4,6,1945,0,-122.248,47.5009,81.75464,629.88234,0.092903,81.75464,0,110.55457,629.88234
171800.00,4,2,0,0,3,6,1950,0,-122.303,47.4965,145.85771,891.8688,0.092903,145.85771,0,174.65764,836.127
535000.00,4,1,0,0,4,7,1925,0,-122.294,47.587,149.57383,277.036746,0.1393545,149.57383,0,149.57383,375.32812
660000.00,3,2.5,0,2,3,8,1964,0,-122.386,47.7728,222.9672,601.454022,0.092903,144.92868,78.03852,217.39302,1008.554968
391500.00,3,2,0,0,3,7,1987,0,-122.226,47.7288,134.70935,848.390196,0.092903,134.70935,0,146.78674,845.788912
395000.00,2,1,0,0,3,6,1953,0,-122.364,47.6999,71.53531,557.418,0.092903,71.53531,0,158.86413,557.418
445000.00,4,1.75,0,0,5,7,1924,0,-122.266,47.5299,195.0963,408.7732,0.1393545,159.79316,35.30314,171.87055,408.7732
770000.00,3,2.25,0,0,3,9,1990,0,-122.098,47.6897,270.34773,947.982212,0.185806,270.34773,0,250.8381,1299.898776
1450000.00,4,2.75,0,0,3,8,1914,1992,-122.212,47.6141,255.48325,1652.651467,0.1393545,183.94794,71.53531,284.28318,1047.481325
445000.00,3,2.25,0,2,3,8,1967,0,-122.244,47.5091,195.0963,761.897503,0.092903,150.50286,44.59344,247.12198,809.370936
260000.00,4,2.25,0,0,3,8,1978,0,-122.39,47.3129,200.67048,818.568333,0.092903,126.34808,74.3224,194.16727,780.3852
822500.00,5,3.5,0,0,5,7,1926,0,-122.352,47.6763,215.53496,460.79888,0.185806,159.79316,55.7418,157.9351,460.79888
430000.00,4,2.5,0,0,3,7,2004,0,-121.85,47.5319,192.30921,400.41193,0.185806,192.30921,0,183.01891,348.200444
212000.00,3,1.75,0,0,4,7,1986,0,-122.152,47.2761,98.47718,731.611125,0.092903,98.47718,0,131.92226,713.49504
660500.00,4,2.25,0,0,3,8,1986,0,-122.054,47.5343,186.73503,892.147509,0.092903,133.78032,52.95471,191.38018,909.799079
784000.00,3,3.5,0,0,3,9,1989,0,-122.072,47.697,366.96685,10319.47943,0.1393545,228.54138,138.42547,230.39944,8221.9155
453246.00,3,2.5,0,0,3,8,2014,0,-121.998,47.5517,186.73503,212.469161,0.185806,129.13517,57.59986,157.00607,154.404786
675000.00,4,3.5,0,0,3,9,2005,0,-122.38,47.6734,198.81242,211.633034,0.278709,198.81242,0,143.07062,212.283355
199000.00,3,1.75,0,0,4,7,1956,0,-122.296,47.3257,122.63196,1615.58317,0.092903,122.63196,0,143.99965,1789.776295
220000.00,4,1.75,0,0,3,7,1968,0,-122.299,47.3309,187.66406,728.35952,0.092903,93.83203,93.83203,162.58025,756.23042
452000.00,4,2.25,0,0,4,8,1968,0,-122.266,47.7689,240.61877,929.215806,0.092903,124.49002,116.12875,143.99965,969.535708
382500.00,2,1,0,0,3,6,1981,0,-122.287,47.7135,110.55457,412.48932,0.092903,110.55457,0,98.47718,530.940645
519950.00,3,2.25,0,0,3,8,2014,0,-122.381,47.6722,108.69651,116.035847,0.278709,108.69651,0,125.41905,121.70293
665000.00,2,1,0,0,3,7,1925,0,-122.358,47.6338,103.12233,297.2896,0.092903,103.12233,0,108.69651,334.4508
527700.00,5,2.5,0,0,4,8,1968,0,-122.128,47.5707,261.98646,870.965625,0.092903,143.99965,117.98681,261.98646,870.965625
205000.00,3,1,0,0,4,7,1962,0,-122.171,47.4563,149.57383,797.014837,0.092903,93.83203,55.7418,149.57383,797.014837
420000.00,3,1,0,0,4,7,1923,0,-122.351,47.7144,98.47718,752.235591,0.092903,87.32882,11.14836,144.92868,737.64982
500000.00,4,2.25,0,0,4,8,1961,0,-122.174,47.5495,188.59309,791.254851,0.092903,128.20614,60.38695,207.17369,819.776072
921500.00,4,2.5,0,0,4,9,1994,0,-122.026,47.7421,340.95401,29299.19072,0.185806,340.95401,0,263.84452,8174.627873
890000.00,4,1,0,0,3,8,1905,0,-122.353,47.6354,236.90265,371.612,0.185806,220.18011,16.72254,204.3866,371.612
430000.00,2,2.5,0,0,3,7,2007,0,-121.943,47.5262,224.82526,5665.596552,0.185806,224.82526,0,180.23182,18008.50333
258000.00,5,2,0,0,4,8,1960,0,-122.286,47.3887,209.96078,1161.2875,0.092903,104.98039,104.98039,126.34808,1672.254
511000.00,3,1,0,0,3,7,1947,0,-122.336,47.6873,132.85129,320.979865,0.092903,91.04494,41.80635,134.70935,427.260897
532170.00,3,2,0,0,3,8,1990,0,-122.353,47.6838,126.34808,287.07027,0.185806,126.34808,0,139.3545,287.07027
560000.00,3,1,0,0,3,7,1947,0,-122.359,47.655,103.12233,464.515,0.1393545,103.12233,0,131.92226,464.515
282950.00,3,1,0,0,4,7,1954,0,-122.304,47.3255,116.12875,761.8046,0.092903,116.12875,0,156.07704,802.031599
2250000.00,4,3.25,0,3,3,12,2006,0,-122.162,47.562,481.23754,1844.12455,0.185806,328.87662,152.36092,293.57348,905.80425
350000.00,1,1,0,0,3,7,1942,0,-122.3,47.679,65.0321,473.8053,0.092903,65.0321,0,93.83203,473.8053
215000.00,3,1,0,0,4,7,1967,0,-122.176,47.4479,109.62554,712.473107,0.092903,109.62554,0,110.55457,712.473107
650000.00,5,3.5,0,0,3,9,1996,0,-122.172,47.525,367.89588,2345.336235,0.185806,232.2575,135.63838,245.26392,1270.448525
320000.00,4,2.75,0,0,3,8,1967,0,-122.369,47.3135,245.26392,696.7725,0.092903,150.50286,94.76106,183.94794,731.611125
247000.00,3,2,0,0,3,7,1916,2013,-121.996,47.2086,117.98681,668.715794,0.1393545,117.98681,0,107.76748,668.715794
320000.00,4,1.75,0,0,4,8,1968,0,-122.118,47.4715,163.50928,1038.65554,0.092903,163.50928,0,160.72219,1038.65554
255000.00,5,2.25,0,0,3,7,1962,0,-122.335,47.4877,191.38018,801.938696,0.092903,95.69009,95.69009,93.83203,1085.10704
438000.00,3,1.75,0,0,3,7,1962,0,-122.193,47.7171,165.36734,897.44298,0.092903,165.36734,0,111.4836,897.44298
900000.00,3,2.5,0,0,3,10,2000,0,-122.023,47.6012,315.8702,1542.468509,0.185806,315.8702,0,315.8702,1170.670703
441000.00,3,2.75,0,0,3,7,1979,0,-122.224,47.7319,177.44473,676.33384,0.092903,107.76748,69.67725,158.86413,757.345256
420000.00,3,2,0,0,4,7,1975,0,-122.023,47.4582,187.66406,3561.157796,0.092903,93.83203,93.83203,196.02533,3399.32077
370000.00,3,1.75,0,0,3,7,1976,0,-122.168,47.7209,146.78674,650.321,0.092903,109.62554,37.1612,152.36092,696.7725
269950.00,2,1.75,0,0,5,5,1949,0,-122.327,47.408,124.49002,673.54675,0.092903,65.0321,59.45792,170.01249,905.80425
807100.00,4,2.5,0,0,3,9,1999,0,-122.125,47.565,248.98004,417.970597,0.185806,248.98004,0,271.27676,418.0635
653000.00,3,2.5,0,0,4,8,1979,0,-122.231,47.7028,248.98004,905.80425,0.092903,149.57383,99.40621,230.39944,812.90125
371500.00,3,2,0,0,5,7,1964,0,-122.331,47.7458,127.27711,774.439408,0.092903,127.27711,0,164.43831,677.077064
284000.00,3,1.75,0,0,3,7,1954,0,-122.337,47.4776,144.92868,1950.963,0.092903,144.92868,0,99.40621,735.79176
272000.00,3,1.75,0,0,4,7,1978,0,-122.374,47.3026,200.67048,663.32742,0.092903,155.14801,45.52247,179.30279,682.83705
313000.00,3,1.5,0,0,3,7,1955,0,-122.339,47.7658,124.49002,735.048536,0.1393545,124.49002,0,137.49644,737.64982
917500.00,4,2.5,0,0,3,10,1984,0,-122.182,47.6477,360.46364,3251.883709,0.185806,238.76071,121.70293,347.45722,3272.97269
673000.00,4,2.25,0,0,4,8,1980,0,-122.125,47.5619,240.61877,760.87557,0.185806,240.61877,0,209.96078,774.346505
425000.00,3,2.5,0,0,3,8,2008,0,-122.31,47.6106,104.05136,102.1933,0.185806,76.18046,27.8709,147.71577,166.760885
399950.00,5,2.75,0,0,3,7,1986,0,-122.308,47.5868,183.01891,501.6762,0.092903,122.63196,60.38695,118.91584,199.74145
385000.00,3,1,0,0,3,6,1901,0,-122.307,47.6101,113.34166,445.9344,0.092903,113.34166,0,111.4836,445.9344
269950.00,3,1.5,0,2,4,7,1975,0,-121.999,47.1976,181.16085,702.34668,0.092903,122.63196,58.52889,181.16085,830.645723
330000.00,2,1,0,0,3,7,1949,0,-122.358,47.7224,125.41905,763.66266,0.092903,98.47718,26.94187,143.07062,769.23684
260000.00,3,2.5,0,0,3,7,1988,0,-122.179,47.3505,155.14801,538.558691,0.185806,155.14801,0,155.14801,574.419249
470000.00,4,3,0,0,4,7,1925,0,-122.376,47.5384,221.10914,476.127875,0.1393545,156.07704,65.0321,130.99323,499.353625
589000.00,4,3,0,0,5,7,1961,0,-122.2,47.7044,226.68332,891.8688,0.185806,226.68332,0,212.74787,891.8688
163500.00,2,1.5,0,0,3,7,1996,0,-122.039,47.3848,97.54815,317.635357,0.185806,97.54815,0,97.54815,317.449551
835000.00,4,2.75,0,0,3,9,1993,0,-122.102,47.6993,290.78639,1246.015036,0.185806,198.81242,91.97397,209.96078,927.543552
1095000.00,5,3,0,2,4,10,1986,0,-122.188,47.6627,379.97327,1193.80355,0.092903,194.16727,185.806,235.97362,954.11381
269000.00,4,1.75,0,0,4,8,1969,0,-122.379,47.3099,138.42547,929.03,0.092903,102.1933,36.23217,203.45757,827.76573
560000.00,3,2.5,0,0,3,8,1987,0,-122.043,47.62,176.5157,812.343832,0.185806,176.5157,0,188.59309,812.343832
615000.00,4,1,0,0,4,6,1901,0,-122.34,47.65,123.56099,222.9672,0.1393545,123.56099,0,123.56099,408.7732
585188.00,3,2.25,0,0,3,8,1975,0,-122.153,47.6647,207.17369,931.445478,0.092903,132.85129,74.3224,207.17369,867.71402
305000.00,3,1.75,0,0,3,7,1977,0,-122.191,47.726,153.28995,880.72044,0.092903,113.34166,39.94829,143.07062,780.3852
166950.00,3,1,0,0,3,6,1959,0,-122.184,47.4616,110.55457,819.40446,0.092903,110.55457,0,114.27069,741.36594
799000.00,3,2.5,0,0,4,8,1959,0,-122.219,47.5505,198.81242,919.460991,0.092903,198.81242,0,248.98004,936.740949
400000.00,3,2.5,0,0,4,7,1962,0,-122.336,47.7606,202.52854,697.515724,0.092903,131.92226,70.60628,176.5157,726.315654
230000.00,3,1,0,0,3,7,1948,0,-122.3,47.7481,98.47718,950.211884,0.092903,98.47718,0,145.85771,950.211884
256883.00,3,2.5,0,0,3,8,2003,0,-122.347,47.2779,157.00607,466.837575,0.185806,157.00607,0,236.90265,464.607903
423000.00,4,2,0,0,5,7,1920,0,-122.312,47.5511,183.01891,602.01144,0.1393545,104.98039,78.03852,139.3545,602.01144
465000.00,3,2.5,0,0,3,8,2007,0,-122.372,47.5488,199.74145,379.415852,0.185806,199.74145,0,162.58025,221.573655
440000.00,3,2.5,0,0,3,7,1997,0,-121.911,47.5385,177.44473,6151.200533,0.185806,177.44473,0,216.46399,6249.399004
385000.00,3,1.75,0,0,4,7,1969,0,-121.994,47.4058,125.41905,14406.74692,0.092903,125.41905,0,144.92868,4734.801395
210000.00,3,1,0,0,4,6,1943,0,-122.184,47.5093,79.89658,1089.287675,0.092903,79.89658,0,120.7739,883.879142
297000.00,3,2.5,0,0,3,8,1994,0,-122.165,47.3777,180.23182,1389.085656,0.185806,180.23182,0,188.59309,970.83635
470000.00,3,1,0,0,3,7,1952,0,-122.394,47.675,93.83203,464.515,0.092903,93.83203,0,156.07704,464.515
226500.00,3,1.5,0,0,4,7,1976,0,-122.37,47.3025,120.7739,684.69511,0.092903,83.6127,37.1612,132.85129,696.7725
274250.00,3,1,0,0,4,6,1962,0,-122.158,47.4787,84.54173,785.03035,0.092903,84.54173,0,130.0642,746.94012
840000.00,4,1.75,0,0,4,9,1966,0,-122.219,47.5378,230.39944,1022.86203,0.092903,151.43189,78.96755,257.34131,998.149832
